,DATE,PCND,DFND,PCSV,DFSV,nd.real,sv.real,c.real,c.lag,c.g
52,01-10-1959,129.461,17.939,149.277,11.672,7.216734489,12.78932488,20.00605937,19.80837347,0.009930445
53,01-01-1960,129.605,17.914,151.304,11.724,7.234844256,12.90549301,20.14033726,20.00605937,0.006689437
54,01-04-1960,131.961,18.043,153.813,11.789,7.313695062,13.04716261,20.36085767,20.14033726,0.010889683
55,01-07-1960,131.58,18.097,154.623,11.865,7.270818368,13.03185841,20.30267677,20.36085767,-0.002861578
56,01-10-1960,132.413,18.199,156.921,11.926,7.275839332,13.15789032,20.43372966,20.30267677,0.006434212
57,01-01-1961,133.401,18.226,158.878,11.957,7.319269176,13.28744668,20.60671586,20.43372966,0.008430085
58,01-04-1961,134.245,18.099,161.891,12.008,7.417260622,13.48192871,20.89918934,20.60671586,0.014093335
59,01-07-1961,134.596,18.133,163.156,12.065,7.422709976,13.5230833,20.94579328,20.89918934,0.002227457
60,01-10-1961,136.167,18.099,166.742,12.115,7.523454334,13.76326868,21.28672301,20.94579328,0.016145718
61,01-01-1962,137.832,18.169,169.287,12.186,7.586108206,13.89192516,21.47803337,21.28672301,0.008947163
62,01-04-1962,138.745,18.217,172.666,12.246,7.61623758,14.09978769,21.71602527,21.47803337,0.011019771
63,01-07-1962,139.96,18.234,174.806,12.293,7.675770539,14.21996258,21.89573312,21.71602527,0.008241304
64,01-10-1962,141.477,18.329,177.594,12.334,7.718751705,14.3987352,22.11748691,21.89573312,0.010076775
65,01-01-1963,142.458,18.356,179.236,12.393,7.760841142,14.46268055,22.22352169,22.11748691,0.004782705
66,01-04-1963,142.803,18.338,181.728,12.432,7.787272331,14.61776062,22.40503295,22.22352169,0.008134355
67,01-07-1963,145.166,18.472,185.526,12.475,7.858705067,14.87182365,22.73052871,22.40503295,0.014423279
68,01-10-1963,145.279,18.51,189.031,12.54,7.848676391,15.07424242,22.92291882,22.73052871,0.008428333
69,01-01-1964,148.651,18.621,192.935,12.599,7.98297621,15.31351695,23.29649316,22.92291882,0.016165609
70,01-04-1964,151.455,18.617,196.604,12.66,8.13530644,15.52954186,23.6648483,23.29649316,0.015687912
71,01-07-1964,154.877,18.673,200.168,12.72,8.29416805,15.73647799,24.03064604,23.6648483,0.015339181
72,01-10-1964,155.8,18.748,203.811,12.775,8.310219757,15.95389432,24.26411408,24.03064604,0.009668538
73,01-01-1965,157.76,18.804,207.035,12.83,8.389704318,16.13678878,24.52649309,24.26411408,0.010755412
74,01-04-1965,160.768,18.981,211.056,12.885,8.469943628,16.37997672,24.84992034,24.52649309,0.013100663
75,01-07-1965,164.069,19.085,215.035,12.95,8.596751375,16.60501931,25.20177068,24.84992034,0.01405971
76,01-10-1965,170.545,19.129,220.065,13.032,8.915520937,16.88651013,25.80203107,25.20177068,0.023538955
77,01-01-1966,174.094,19.386,223.73,13.114,8.980398226,17.06039347,26.0407917,25.80203107,0.009211008
78,01-04-1966,177.238,19.551,228.23,13.233,9.065418649,17.24703393,26.31245258,26.0407917,0.010378089
79,01-07-1966,179.77,19.689,232.198,13.354,9.130478948,17.38789876,26.5183777,26.31245258,0.007795682
80,01-10-1966,180.394,19.812,237.04,13.485,9.105289723,17.57804968,26.68333941,26.5183777,0.006201388
81,01-01-1967,182.375,19.807,240.841,13.577,9.207603373,17.73889666,26.94650004,26.68333941,0.009814042
82,01-04-1967,184.021,19.838,244.953,13.676,9.276187116,17.91115823,27.18734535,26.94650004,0.0088982
83,01-07-1967,185.777,20.046,250.241,13.783,9.26753467,18.1557716,27.42330627,27.18734535,0.008641625
84,01-10-1967,187.864,20.18,254.743,13.914,9.309415263,18.30839442,27.61780969,27.42330627,0.007067597
85,01-01-1968,193.535,20.388,261.903,14.083,9.492593683,18.59710289,28.08969657,27.61780969,0.016941996
86,01-04-1968,197.769,20.581,269.161,14.252,9.60929984,18.88584058,28.49514042,28.08969657,0.014330722
87,01-07-1968,202.841,20.778,275.736,14.416,9.76229666,19.12708102,28.88937768,28.49514042,0.013740412
88,01-10-1968,205.007,20.995,282.144,14.591,9.764562991,19.33685148,29.10141447,28.88937768,0.007312807
89,01-01-1969,208.834,21.152,288.161,14.773,9.873014372,19.50592297,29.37893734,29.10141447,0.00949122
90,01-04-1969,212.216,21.447,295.673,14.973,9.894903716,19.74707807,29.64198179,29.37893734,0.00891366
91,01-07-1969,215.988,21.747,302.01,15.172,9.931852669,19.90574743,29.8376001,29.64198179,0.006577686
92,01-10-1969,219.744,21.978,309.998,15.382,9.998361998,20.15329606,30.15165806,29.8376001,0.010470569
93,01-01-1970,224.484,22.261,317.59,15.59,10.0841831,20.37139192,30.45557502,30.15165806,0.01002915
94,01-04-1970,226.548,22.48,324.016,15.808,10.07775801,20.49696356,30.57472157,30.45557502,0.00390451
95,01-07-1970,229.716,22.632,331.755,16.004,10.15005302,20.72950512,30.87955815,30.57472157,0.009920841
96,01-10-1970,234.475,22.834,338.361,16.24,10.26867829,20.83503695,31.10371523,30.87955815,0.007232857
97,01-01-1971,235.828,22.872,345.307,16.459,10.310773,20.97982867,31.29060166,31.10371523,0.005990513
98,01-04-1971,238.832,23.111,353.404,16.676,10.33412661,21.19237227,31.52649888,31.29060166,0.00751064
99,01-07-1971,240.424,23.313,361.732,16.91,10.31287265,21.3916026,31.70447525,31.52649888,0.00562942
100,01-10-1971,243.595,23.46,370.843,17.068,10.38341858,21.72738458,32.11080316,31.70447525,0.012734675
101,01-01-1972,247.04,23.714,381.204,17.255,10.41747491,22.09237902,32.50985393,32.11080316,0.012350721
102,01-04-1972,254.302,23.768,388.996,17.397,10.69934366,22.35994712,33.05929077,32.50985393,0.016759398
103,01-07-1972,260.084,23.979,398.123,17.568,10.84632387,22.66182832,33.50815219,33.05929077,0.013486119
104,01-10-1972,268.057,24.256,409.029,17.732,11.0511626,23.06727949,34.11844209,33.50815219,0.018049304
105,01-01-1973,275.456,24.776,417.739,17.881,11.11785599,23.36217214,34.48002813,34.11844209,0.0105422
106,01-04-1973,281.386,25.525,427.847,18.159,11.02393732,23.56115425,34.58509156,34.48002813,0.003042448
107,01-07-1973,289.916,26.176,438.16,18.475,11.07564181,23.71637348,34.79201529,34.58509156,0.005965205
108,01-10-1973,297.675,26.983,448.011,18.821,11.03194604,23.80378301,34.83572905,34.79201529,0.001255642
109,01-01-1974,308.853,28.377,456.362,19.207,10.88392008,23.7601916,34.64411167,34.83572905,-0.005515783
110,01-04-1974,318.017,29.414,471.822,19.661,10.81175631,23.99786379,34.8096201,34.64411167,0.004766014
111,01-07-1974,327.667,30.241,485.284,20.116,10.83519064,24.12427918,34.95946982,34.8096201,0.004295597
112,01-10-1974,330.908,31.095,501.022,20.557,10.64183952,24.37233059,35.01417012,34.95946982,0.001563455
113,01-01-1975,336.206,31.533,517.197,21.024,10.6620366,24.60031393,35.26235052,35.01417012,0.007062997
114,01-04-1975,344.849,31.643,532.041,21.372,10.89811333,24.89430095,35.79241428,35.26235052,0.014920142
115,01-07-1975,355.964,32.346,544.44,21.768,11.00488468,25.01102536,36.01591004,35.79241428,0.006224807
116,01-10-1975,359.659,32.761,563.172,22.197,10.97826684,25.37153669,36.34980354,36.01591004,0.009228013
117,01-01-1976,367.436,32.805,579.174,22.565,11.20060966,25.66691779,36.86752746,36.34980354,0.01414235
118,01-04-1976,373.07,32.804,590.571,22.857,11.37269845,25.83764274,37.21034119,36.86752746,0.009255563
119,01-07-1976,380.608,33.212,608.353,23.264,11.45995423,26.14997421,37.60992844,37.21034119,0.010681358
120,01-10-1976,389.607,33.644,627.345,23.666,11.58028177,26.50828192,38.0885637,37.60992844,0.012646002
121,01-01-1977,396.467,34.259,647.814,24.141,11.57263785,26.83459674,38.40723459,38.0885637,0.008331771
122,01-04-1977,403.704,34.886,663.054,24.619,11.57209196,26.93261302,38.50470498,38.40723459,0.002534598
123,01-07-1977,409.909,35.248,683.003,25.091,11.62928393,27.22103543,38.85031936,38.50470498,0.008935856
124,01-10-1977,423.604,35.66,700.494,25.492,11.87896803,27.4789738,39.35794183,38.85031936,0.012981483
125,01-01-1978,431.073,36.134,724.811,25.972,11.92984447,27.90740028,39.83724475,39.35794183,0.012104492
126,01-04-1978,444.812,37.001,750.386,26.49,12.02162104,28.32714232,40.34876336,39.83724475,0.012758474
