Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
196303,5.523234994,3.330080959,5.910798899,2.598490688,3.573928509,6.113852,4.332573624,4.138735914,4.104287585,10.43640684,7.388950266,7.997227438,7.88175944,-0.339806679,10.12933381,0.459005504,11.68023208,14.4556694,8.290662451,5.569134936,4.99308567,5.376227824,5.543418902,9.068439411,9.81581398,2.243040446,5.774469734,-2.412301222,5.642442785,14.73021717
196306,4.147099406,0.013923856,-3.3540597,2.24783072,9.640016622,6.695923089,0.4985888,6.180824645,2.37081801,9.269618458,3.785043012,8.142501248,8.042454541,7.920218661,9.92372776,1.4152733,4.770619446,6.501257024,7.22310429,2.296027136,1.066645117,4.698997607,3.672023947,1.663785409,14.56347012,3.63044831,6.974276091,3.045093632,3.054885233,3.818702043
196309,3.372734537,1.131942548,0.011069103,-1.758314848,7.411440231,4.607638821,-0.079117616,5.700490438,2.75610158,6.709553202,3.8977269,6.896975826,-1.187937452,0.890447601,7.37102152,-5.096088586,0.033787168,2.993423667,2.432750742,2.40776,6.505716139,-3.519592504,4.954723582,7.75383923,0.614054123,2.541370148,6.743536316,-5.61510232,0.27546551,0.682217375
196312,5.00798194,-0.804872486,5.794096243,5.873158743,-1.535141347,8.49540611,0.336722394,3.240013142,10.54781025,11.38201432,-0.767212774,1.226874399,5.289523321,-4.695431914,2.920367056,3.390977634,11.10783841,16.15525067,2.866960742,0.696101383,7.550657984,-1.418719825,11.89936975,1.016839431,10.02113098,-3.319155968,-0.28708201,-0.834522242,-0.041743709,1.905317248
196403,4.596993519,7.805026368,11.36927232,4.0334036,10.41903923,5.078911459,2.095570535,3.356306893,8.360151834,6.551632341,12.10243664,14.93715448,14.41416158,5.385221732,5.449502413,10.55379724,11.24757571,2.672695563,7.508487477,1.51506365,2.091850172,7.498798511,8.705347933,2.762735578,14.2974107,4.240745024,6.794471461,10.88242365,3.295175952,-1.580943376
196406,2.935818159,0.325531032,0.071320546,-8.845328163,7.579492465,0.796631943,5.492207892,-0.312821403,0.555933388,4.792917481,0.04800023,-1.524825773,6.60640579,-6.007349248,6.385655636,2.926439454,13.3311594,-5.882261018,7.248089172,4.150899888,5.186121776,2.320123334,-0.518997102,-1.139360231,8.599992371,3.470681724,11.54445993,4.145762846,-2.138554,-5.02920964
196409,1.882315997,7.629327455,4.928429918,2.349071223,0.576653187,4.915910595,7.856782581,3.078386194,5.193222344,8.426603001,-0.222932398,6.07979213,4.377195932,15.14429684,12.87586934,15.40758888,13.85211886,6.27098694,4.520156642,6.861129818,-4.473959559,7.688278349,-3.620789652,2.931029652,-1.049219453,0.479545817,5.266809856,1.04496044,2.20229285,8.110155324
196412,1.216147567,0.774438912,-8.16530145,-2.442208406,5.274013762,0.46764071,2.654027693,9.716423325,3.777043533,8.396400001,0.389569233,-8.898651456,0.483788406,3.888117555,-0.623923522,1.234106041,-0.724543669,2.788170829,5.494941518,2.844680075,-0.096257743,-1.012815673,-1.227921196,-2.904740989,-1.933678629,4.317374307,5.874513139,6.590513863,-2.706012352,-3.23006716
196503,4.872700691,14.95510702,4.411499688,18.21057955,13.30840407,7.401112136,15.83253875,9.250930578,3.431773191,11.84409643,9.170777942,8.068728895,8.219300816,14.66323916,3.564211273,7.323441695,12.67633709,3.097776023,-6.002576515,3.864111454,-0.635710834,15.04536467,9.234660706,7.115347391,6.93634543,9.706167973,3.086337496,13.11432198,3.6607868,16.62106462
196506,-2.49953728,0.396092307,0.325555467,-4.30952256,-0.660628033,-0.400369979,-3.68107831,-3.697383849,-3.412334215,-0.897001254,-5.249337743,-2.732551196,-4.34519875,-2.455377526,-4.60141399,0.246666839,-8.302282857,-10.21919403,-0.076475894,-3.974362237,0.800787362,-8.027980696,-0.127968539,-4.564300285,-6.810524032,-4.941372626,0.842244848,-6.735003155,-4.767517144,-10.85951822
